PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Scotty Pippen Jr. (37170398),Jaylen Wells (37170484),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Clint Capela (37170378),Jalen Green (37170373),Jalen Johnson (37170273),Isaiah Hartenstein (37170318),50000,269.27,6.515986875274801e-07,179.0,234.49999999999997,79.08000000000001
Fred VanVleet (37170344),Anthony Edwards (37170286),Keldon Johnson (37170569),Julius Randle (37170325),Isaiah Hartenstein (37170318),Scotty Pippen Jr. (37170398),Desmond Bane (37170329),Jay Huff (37170790),50000,271.2,2.5657115555412637e-06,191.8,238.70000000000002,79.16
Payton Pritchard (37170387),Devin Vassell (37170391),Zaccharie Risacher (37170583),Jalen Williams (37170290),Julius Randle (37170325),Terry Rozier (37170439),Jayson Tatum (37170261),Jake LaRavia (37170492),49900,272.84,5.440381297067809e-06,185.6,248.60000000000002,78.33999999999999
Derrick White (37170336),Terry Rozier (37170439),Jayson Tatum (37170261),Jaren Jackson Jr. (37170314),Myles Turner (37170359),Donte DiVincenzo (37170511),Jake LaRavia (37170492),Scotty Pippen Jr. (37170398),50000,269.94,2.0999988741640615e-06,203.3,245.20000000000002,78.74999999999999
Anthony Edwards (37170286),Terry Rozier (37170439),Zaccharie Risacher (37170583),Jaren Jackson Jr. (37170314),Bam Adebayo (37170293),Donte DiVincenzo (37170511),Brandon Clarke (37170586),Alperen Sengun (37170284),49800,268.45,2.777173827874815e-06,178.4,236.20000000000002,79.31
Shai Gilgeous-Alexander (37170258),Terry Rozier (37170439),Tari Eason (37170430),Jalen Williams (37170290),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Nikola Jovic (37170519),Bam Adebayo (37170293),49900,268.94,1.6319487106137602e-07,172.20000000000002,226.59999999999997,79.73
Alec Burks (37170603),Tyler Herro (37170307),Jayson Tatum (37170261),Nikola Jovic (37170519),Jay Huff (37170790),Scotty Pippen Jr. (37170398),Julius Randle (37170325),Bam Adebayo (37170293),50000,272.17,2.0592557855421552e-06,206.7,240.8,79.2
Scotty Pippen Jr. (37170398),Terry Rozier (37170439),Jayson Tatum (37170261),Brandon Clarke (37170586),Jaren Jackson Jr. (37170314),Jaylen Wells (37170484),Jalen Williams (37170290),Jaime Jaquez Jr. (37170401),49900,271.45,3.9842436133920005e-06,219.9,237.8,79.25999999999999
Payton Pritchard (37170387),Jaylen Brown (37170295),Zaccharie Risacher (37170583),Pascal Siakam (37170322),Jaren Jackson Jr. (37170314),Derrick White (37170336),Luguentz Dort (37170453),Scotty Pippen Jr. (37170398),49800,269.61,3.4294637756643685e-06,204.3,248.70000000000002,78.24
T.J. McConnell (37170427),Jaylen Brown (37170295),De'Andre Hunter (37170361),Jake LaRavia (37170492),Bam Adebayo (37170293),Scotty Pippen Jr. (37170398),Zaccharie Risacher (37170583),Jalen Williams (37170290),49900,270.28,3.407854607863926e-07,179.2,235.8,79.33999999999999
Alec Burks (37170603),Jaylen Brown (37170295),Zaccharie Risacher (37170583),Julius Randle (37170325),Brandon Clarke (37170586),Fred VanVleet (37170344),Jaren Jackson Jr. (37170314),Alperen Sengun (37170284),50000,270.81,4.092573880889856e-06,191.6,241.70000000000002,78.60000000000001
Trae Young (37170265),Alec Burks (37170603),Luguentz Dort (37170453),Jayson Tatum (37170261),Isaiah Hartenstein (37170318),Scotty Pippen Jr. (37170398),Naz Reid (37170446),Donte DiVincenzo (37170511),49900,268.52,8.970239271825089e-07,178.70000000000002,240.4,77.63000000000001
