PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Russell Westbrook (37223340),Dennis Schroder (37223435),Jaden McDaniels (37223564),Ausar Thompson (37223550),Trayce Jackson-Davis (37223456),Devin Vassell (37223384),Jonathan Kuminga (37223353),Nikola Jokic (37223226),49800,283.45,2.1770451162981608e-05,244.29999999999998,245.5,80.92
Dennis Schroder (37223435),Donte DiVincenzo (37223467),Jaden McDaniels (37223564),Draymond Green (37223411),Nikola Jokic (37223226),Buddy Hield (37223661),Ausar Thompson (37223550),Karl-Anthony Towns (37223234),49900,282.85,1.102492966556621e-05,234.6,243.20000000000002,80.58
Russell Westbrook (37223340),Dennis Schroder (37223435),Devin Vassell (37223384),Ausar Thompson (37223550),Nikola Jokic (37223226),Buddy Hield (37223661),Draymond Green (37223411),Jonathan Kuminga (37223353),49900,285.96,3.209810663103185e-05,265.5,244.10000000000002,81.00999999999999
Russell Westbrook (37223340),Devin Vassell (37223384),Jaden McDaniels (37223564),Deni Avdija (37223389),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,284.7,3.432127918769013e-05,248.6,246.20000000000005,80.97
Russell Westbrook (37223340),Andrew Nembhard (37223445),Jaden McDaniels (37223564),Pascal Siakam (37223320),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,282.48,8.542371455176365e-06,230.0,243.90000000000003,80.61
Russell Westbrook (37223340),Duncan Robinson (37223533),Devin Vassell (37223384),Jonathan Kuminga (37223353),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Draymond Green (37223411),Nikola Jokic (37223226),49800,282.44,1.554161496549718e-05,236.5,238.3,80.53
Dennis Schroder (37223435),Devin Vassell (37223384),Ausar Thompson (37223550),Jonathan Kuminga (37223353),Bam Adebayo (37223273),Buddy Hield (37223661),Jaden McDaniels (37223564),Nikola Jokic (37223226),50000,286.68,3.1842313306745766e-05,266.5,248.2,81.03
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Jonathan Kuminga (37223353),Nikola Jokic (37223226),Russell Westbrook (37223340),Brandon Clarke (37223664),Bam Adebayo (37223273),49800,285.3,2.6381936834937226e-05,264.1,235.79999999999998,81.39000000000001
Andrew Nembhard (37223445),Dennis Schroder (37223435),Deni Avdija (37223389),Draymond Green (37223411),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Pascal Siakam (37223320),Nikola Jokic (37223226),50000,283.93,1.3036447725371967e-05,245.4,246.3,80.73
Dennis Schroder (37223435),Devin Vassell (37223384),Ausar Thompson (37223550),Julius Randle (37223312),Trayce Jackson-Davis (37223456),Buddy Hield (37223661),Jonathan Kuminga (37223353),Nikola Jokic (37223226),50000,288.51,7.332434307666411e-05,284.0,243.8,81.03999999999999
Dennis Schroder (37223435),Buddy Hield (37223661),Ausar Thompson (37223550),Pascal Siakam (37223320),Trayce Jackson-Davis (37223456),Anfernee Simons (37223350),Devin Vassell (37223384),Nikola Jokic (37223226),49900,282.09,5.482415682378836e-06,234.9,243.10000000000002,80.69
