PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Cade Cunningham (37295119),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Donovan Clingan (37295456),Immanuel Quickley (37295197),Jaden McDaniels (37295320),Jakob Poeltl (37295200),49800,265.93,9.092762976586681e-05,275.70000000000005,244.20000000000002,79.63
Mike Conley (37295379),Malik Beasley (37295232),RJ Barrett (37295150),Julius Randle (37295181),Jalen Duren (37295235),Cade Cunningham (37295119),Jaden McDaniels (37295320),Rudy Gobert (37295237),50000,265.27,7.307195940015656e-05,274.40000000000003,245.50000000000003,77.94999999999999
Scottie Barnes (37295135),Anthony Edwards (37295132),Toumani Camara (37295290),Nikola Jovic (37295268),Rudy Gobert (37295237),Cade Cunningham (37295119),Jaden McDaniels (37295320),Donovan Clingan (37295456),49900,265.48,6.3394587831157e-05,271.7,246.50000000000003,79.14
Cade Cunningham (37295119),Donte DiVincenzo (37295251),Jaime Jaquez Jr. (37295217),Naz Reid (37295264),Rudy Gobert (37295237),Mike Conley (37295379),Scottie Barnes (37295135),Jakob Poeltl (37295200),50000,265.23,0.0001474440756382088,271.8,243.8,78.34
Scoot Henderson (37295298),Shaedon Sharpe (37295221),Jaden McDaniels (37295320),Tobias Harris (37295207),Donovan Clingan (37295456),Cade Cunningham (37295119),Julius Randle (37295181),Anthony Edwards (37295132),50000,265.45,5.309342615766631e-05,272.3,247.60000000000002,78.59
Cade Cunningham (37295119),Donte DiVincenzo (37295251),Deni Avdija (37295185),Julius Randle (37295181),Rudy Gobert (37295237),Mike Conley (37295379),Jaime Jaquez Jr. (37295217),Jalen Duren (37295235),49900,265.14,0.00010484365569133563,273.8,244.50000000000003,78.35000000000001
Cade Cunningham (37295119),Shaedon Sharpe (37295221),Scottie Barnes (37295135),Julius Randle (37295181),Rudy Gobert (37295237),Terry Rozier (37295247),Jaden McDaniels (37295320),Donovan Clingan (37295456),50000,265.99,9.124978551454418e-05,277.7,249.90000000000003,78.82
Cade Cunningham (37295119),Shaedon Sharpe (37295221),Jaden McDaniels (37295320),Ausar Thompson (37295258),Donovan Clingan (37295456),Anthony Edwards (37295132),Julius Randle (37295181),Jalen Duren (37295235),49800,265.18,4.547215648467332e-05,281.0,238.50000000000003,79.41000000000001
Scottie Barnes (37295135),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Julius Randle (37295181),Rudy Gobert (37295237),Shaedon Sharpe (37295221),Nikola Jovic (37295268),Donovan Clingan (37295456),50000,265.17,8.372213721253954e-05,272.5,246.8,78.88999999999999
Scoot Henderson (37295298),Anthony Edwards (37295132),Scottie Barnes (37295135),Nikola Jovic (37295268),Isaiah Stewart (37295409),Cade Cunningham (37295119),Jaden McDaniels (37295320),Rudy Gobert (37295237),49900,265.29,4.726250754476349e-05,271.3,241.20000000000002,78.61999999999999
Cade Cunningham (37295119),Tyler Herro (37295140),Jaden McDaniels (37295320),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Donte DiVincenzo (37295251),Julius Randle (37295181),Jalen Duren (37295235),49800,265.51,0.00010117826997547421,277.7,241.00000000000003,79.42
Cade Cunningham (37295119),Tyler Herro (37295140),Jaden McDaniels (37295320),Julius Randle (37295181),Donovan Clingan (37295456),Terry Rozier (37295247),Jaime Jaquez Jr. (37295217),Rudy Gobert (37295237),49900,265.28,7.622138589840905e-05,274.3,249.90000000000003,78.63
Immanuel Quickley (37295197),Tyler Herro (37295140),Jaden McDaniels (37295320),Jaime Jaquez Jr. (37295217),Jalen Duren (37295235),Anthony Edwards (37295132),Julius Randle (37295181),Donovan Clingan (37295456),49900,265.8,0.00010641103286209267,282.6,245.10000000000002,79.19999999999999
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Ausar Thompson (37295258),Jakob Poeltl (37295200),Cade Cunningham (37295119),Jaden McDaniels (37295320),Rudy Gobert (37295237),50000,266.51,7.787377163530421e-05,286.90000000000003,249.6,79.06
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaden McDaniels (37295320),Tobias Harris (37295207),Donovan Clingan (37295456),Cade Cunningham (37295119),Julius Randle (37295181),Jaime Jaquez Jr. (37295217),50000,265.78,6.826297648842813e-05,279.9,245.80000000000004,78.78000000000002
Cade Cunningham (37295119),Anthony Edwards (37295132),Jaden McDaniels (37295320),Santi Aldama (37295255),Jalen Duren (37295235),Shaedon Sharpe (37295221),Julius Randle (37295181),Donovan Clingan (37295456),49800,265.38,4.547215648467332e-05,281.0,237.6,79.1
Mike Conley (37295379),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Naz Reid (37295264),Jalen Duren (37295235),Cade Cunningham (37295119),Nikola Jovic (37295268),Jakob Poeltl (37295200),49900,266.09,0.0001483890238197557,278.40000000000003,236.8,79.01
Cade Cunningham (37295119),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Naz Reid (37295264),Donovan Clingan (37295456),Immanuel Quickley (37295197),Jaden McDaniels (37295320),Jakob Poeltl (37295200),49800,266.34,0.000147980260207195,288.5,242.70000000000002,79.60000000000001
Mike Conley (37295379),Donte DiVincenzo (37295251),Scottie Barnes (37295135),Jaime Jaquez Jr. (37295217),Rudy Gobert (37295237),Anfernee Simons (37295194),Jaden McDaniels (37295320),Cade Cunningham (37295119),49800,265.14,0.00015346056546450233,277.99999999999994,252.9,77.48
Shaedon Sharpe (37295221),Tyler Herro (37295140),Jaden McDaniels (37295320),Nikola Jovic (37295268),Rudy Gobert (37295237),Mike Conley (37295379),Julius Randle (37295181),Cade Cunningham (37295119),49900,265.17,0.00011961989822833022,278.59999999999997,251.80000000000004,77.39999999999999
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaden McDaniels (37295320),Nikola Jovic (37295268),Rudy Gobert (37295237),Cade Cunningham (37295119),Jaime Jaquez Jr. (37295217),Deandre Ayton (37295210),49800,265.78,7.162017205343278e-05,276.8,248.70000000000002,78.96000000000001
Scoot Henderson (37295298),Anthony Edwards (37295132),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Jalen Duren (37295235),Cade Cunningham (37295119),Jaden McDaniels (37295320),Jakob Poeltl (37295200),50000,268.41,0.00020876724958443464,293.6,245.1,79.93
Cade Cunningham (37295119),Donte DiVincenzo (37295251),Jaden McDaniels (37295320),Julius Randle (37295181),Jalen Duren (37295235),Anfernee Simons (37295194),Nikola Jovic (37295268),Jakob Poeltl (37295200),49800,266.06,0.00019261312396107552,288.6,247.1,78.83
