PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jalen Suggs (37026798),Jordan Poole (37026805),Jaden McDaniels (37027041),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Anthony Black (37027031),Justin Champagnie (37026970),Anthony Davis (37026740),49800,265.81,2.133808615842509e-05,224.1,248.3,81.96000000000001
Mike Conley (37026982),Anthony Black (37027031),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Justin Champagnie (37026970),Kristaps Porzingis (37026796),49800,265.55,1.1736148651858935e-05,211.9,241.0,81.64
Jalen Suggs (37026798),Austin Reaves (37026858),Desmond Bane (37026825),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),Justin Champagnie (37026970),Buddy Hield (37026973),50000,264.67,1.7308868244329624e-05,223.9,240.5,80.57
Jordan Poole (37026805),Anthony Black (37027031),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Wendell Carter Jr. (37026930),Justin Champagnie (37026970),50000,264.24,8.621487579462435e-06,208.2,245.8,82.27
Jalen Suggs (37026798),Desmond Bane (37026825),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Buddy Hield (37026973),Jonathan Kuminga (37026881),Goga Bitadze (37026910),49800,264.75,2.140720825840462e-05,226.4,243.1,82.21000000000001
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Kevin Durant (37026771),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Jordan Poole (37026805),50000,264.93,1.7712746380687808e-05,224.6,236.3,81.2
Jared Butler (37027124),Jordan Poole (37026805),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Luka Doncic (37026735),Justin Champagnie (37026970),Anthony Black (37027031),50000,265.17,8.944579189547068e-06,209.7,241.5,81.08
Carlton Carrington (37026938),Buddy Hield (37026973),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),Justin Champagnie (37026970),Dereck Lively II (37026945),50000,266.09,1.8824646099841076e-05,228.4,236.4,81.08
Jalen Suggs (37026798),Buddy Hield (37026973),Justin Champagnie (37026970),Naz Reid (37026966),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49600,265.58,2.304768037641756e-05,227.8,231.6,81.72
Jared Butler (37027124),Austin Reaves (37026858),Jayson Tatum (37026744),LeBron James (37026748),Goga Bitadze (37026910),Anthony Black (37027031),Jonathan Kuminga (37026881),Buddy Hield (37026973),49900,266.13,1.4287466633823405e-05,211.29999999999998,234.9,81.16
