PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Jrue Holiday (37026942),Buddy Hield (37026973),Justin Champagnie (37026970),Jayson Tatum (37026744),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Dereck Lively II (37026945),49900,267.53,3.9863956446722286e-05,237.9,236.3,80.24000000000001
Mike Conley (37026982),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jared Butler (37027124),LeBron James (37026748),Anthony Davis (37026740),49800,267.76,3.4004581034548486e-05,235.7,232.4,81.41
Anthony Black (37027031),Desmond Bane (37026825),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jalen Suggs (37026798),LeBron James (37026748),Jared Butler (37027124),50000,266.22,1.0444763892496345e-05,211.2,237.2,81.36
Anthony Black (37027031),Derrick White (37026821),Jayson Tatum (37026744),LeBron James (37026748),Dereck Lively II (37026945),Jared Butler (37027124),Justin Champagnie (37026970),Goga Bitadze (37026910),50000,266.37,8.1044858006911e-06,193.7,235.6,81.23
Mike Conley (37026982),Buddy Hield (37026973),Justin Champagnie (37026970),Jayson Tatum (37026744),Dereck Lively II (37026945),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49900,265.14,1.4275833561541697e-05,217.0,240.5,81.29
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Klay Thompson (37026988),LeBron James (37026748),Anthony Davis (37026740),49700,267.41,3.353229518684641e-05,235.5,234.9,81.34
Jalen Suggs (37026798),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Jrue Holiday (37026942),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),49700,266.82,1.5044250682532065e-05,215.9,243.7,81.05
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Wendell Carter Jr. (37026930),Mike Conley (37026982),LeBron James (37026748),Anthony Davis (37026740),50000,265.7,1.171328013446239e-05,216.5,241.3,80.94
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Austin Reaves (37026858),Naz Reid (37026966),Anthony Davis (37026740),49900,265.74,8.382131107215801e-06,194.4,231.5,81.39
Jared Butler (37027124),Anthony Black (37027031),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Buddy Hield (37026973),Wendell Carter Jr. (37026930),Anthony Davis (37026740),49900,265.95,1.365138079053675e-05,214.29999999999998,233.0,82.07
Anthony Black (37027031),Buddy Hield (37026973),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Jalen Suggs (37026798),LeBron James (37026748),Kristaps Porzingis (37026796),49800,266.26,1.630572773388572e-05,213.9,245.9,81.77
Mike Conley (37026982),Austin Reaves (37026858),Justin Champagnie (37026970),Jayson Tatum (37026744),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Anthony Black (37027031),50000,266.42,1.4779086945531416e-05,217.9,237.1,79.93
Marcus Smart (37027018),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Mike Conley (37026982),LeBron James (37026748),Anthony Davis (37026740),49900,265.57,5.401558652392422e-06,208.5,234.0,80.67
Anthony Black (37027031),Buddy Hield (37026973),Bilal Coulibaly (37026927),LeBron James (37026748),Anthony Davis (37026740),Klay Thompson (37026988),Justin Champagnie (37026970),Jonathan Kuminga (37026881),49900,266.78,3.0053977130333106e-05,232.8,249.8,80.11
Luka Doncic (37026735),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Wendell Carter Jr. (37026930),Dereck Lively II (37026945),50000,264.62,1.0522187110063287e-05,215.9,244.0,83.07
Austin Reaves (37026858),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jordan Poole (37026805),Bilal Coulibaly (37026927),Goga Bitadze (37026910),50000,265.18,2.5344671911707483e-05,230.4,249.2,80.85
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Devin Vassell (37026907),LeBron James (37026748),Anthony Davis (37026740),49700,267.39,1.4936778954832105e-05,223.2,233.5,81.87
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jayson Tatum (37026744),Dereck Lively II (37026945),Devin Vassell (37026907),Jonathan Kuminga (37026881),Anthony Davis (37026740),49800,266.64,1.4284201233504487e-05,222.3,234.1,81.58
Jrue Holiday (37026942),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),LeBron James (37026748),Dereck Lively II (37026945),49300,266.97,3.3607752648372234e-05,233.2,236.1,80.51
Jared Butler (37027124),Jordan Poole (37026805),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jalen Suggs (37026798),Justin Champagnie (37026970),Dereck Lively II (37026945),49900,267.3,3.5970631704294244e-05,236.0,244.0,81.64
Jordan Poole (37026805),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jrue Holiday (37026942),LeBron James (37026748),Goga Bitadze (37026910),49900,266.19,1.0271984128306954e-05,208.9,241.20000000000002,81.04
Jrue Holiday (37026942),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Anthony Black (37027031),Jonathan Kuminga (37026881),Daniel Gafford (37026980),50000,266.94,1.1940722467170398e-05,218.2,236.8,80.68
Anthony Black (37027031),Jordan Poole (37026805),Jayson Tatum (37026744),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Buddy Hield (37026973),Bilal Coulibaly (37026927),Jalen Suggs (37026798),50000,264.57,1.633003487331013e-05,213.9,249.3,81.63
Jared Butler (37027124),Anthony Black (37027031),Desmond Bane (37026825),LeBron James (37026748),Dereck Lively II (37026945),Buddy Hield (37026973),Justin Champagnie (37026970),Anthony Davis (37026740),50000,266.51,1.2387500873484544e-05,204.5,234.0,81.4
Jordan Poole (37026805),Klay Thompson (37026988),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Anthony Davis (37026740),Anthony Black (37027031),Justin Champagnie (37026970),Jalen Suggs (37026798),49900,265.26,1.7418322755148544e-05,221.2,253.4,80.62
Jalen Suggs (37026798),Anthony Black (37027031),Klay Thompson (37026988),Jayson Tatum (37026744),Dereck Lively II (37026945),Jared Butler (37027124),LeBron James (37026748),Justin Champagnie (37026970),49700,264.98,8.267611725409103e-06,192.5,238.1,81.02
Anthony Black (37027031),Shaedon Sharpe (37026873),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Buddy Hield (37026973),Jonathan Kuminga (37026881),Jared Butler (37027124),49700,265.93,2.1881058028960986e-05,229.0,237.5,80.87
Jared Butler (37027124),Buddy Hield (37026973),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Anthony Black (37027031),LeBron James (37026748),Anthony Davis (37026740),49400,266.41,3.642579986176499e-05,231.2,238.3,81.23
Jared Butler (37027124),Buddy Hield (37026973),Jaden McDaniels (37027041),LeBron James (37026748),Anthony Davis (37026740),Anthony Black (37027031),Justin Champagnie (37026970),Kristaps Porzingis (37026796),49900,266.47,1.1010377127640072e-05,200.1,235.3,80.81
Jordan Poole (37026805),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Anthony Black (37027031),Jonathan Kuminga (37026881),Jalen Suggs (37026798),49500,265.71,2.529553208593547e-05,227.7,244.5,82.37
Shaedon Sharpe (37026873),Anthony Black (37027031),Justin Champagnie (37026970),Naz Reid (37026966),Anthony Davis (37026740),Jared Butler (37027124),LeBron James (37026748),Jonathan Kuminga (37026881),49800,264.35,1.173551555186489e-05,215.6,234.1,80.82
Jared Butler (37027124),Devin Vassell (37026907),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),50000,266.49,7.87137222130371e-06,210.0,233.3,82.41
Kyrie Irving (37026783),Anthony Black (37027031),Klay Thompson (37026988),Jayson Tatum (37026744),Dereck Lively II (37026945),Jalen Suggs (37026798),Justin Champagnie (37026970),Jonathan Kuminga (37026881),50000,264.26,8.05217101852112e-06,206.9,249.8,80.82000000000001
Luka Doncic (37026735),Anthony Black (37027031),Bilal Coulibaly (37026927),Wendell Carter Jr. (37026930),Dereck Lively II (37026945),Jalen Suggs (37026798),Jonathan Kuminga (37026881),Goga Bitadze (37026910),49900,262.92,5.726752127991005e-06,197.4,248.6,82.6
Anthony Black (37027031),Klay Thompson (37026988),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Jared Butler (37027124),Jonathan Kuminga (37026881),Austin Reaves (37026858),49800,266.82,1.5239630969073777e-05,218.6,239.0,80.15
Mike Conley (37026982),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Anthony Davis (37026740),Jared Butler (37027124),Jayson Tatum (37026744),Goga Bitadze (37026910),49900,267.01,3.25189439990585e-05,234.79999999999998,233.0,81.12
Mike Conley (37026982),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Anthony Davis (37026740),Buddy Hield (37026973),Bilal Coulibaly (37026927),Goga Bitadze (37026910),49800,265.21,1.535722490070839e-05,207.5,244.3,80.74
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Rudy Gobert (37026830),Jared Butler (37027124),LeBron James (37026748),Jayson Tatum (37026744),49800,265.59,1.6950072477388056e-05,221.8,241.20000000000002,80.48
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Jaylen Brown (37026775),Jayson Tatum (37026744),Jalen Suggs (37026798),50000,264.62,1.2613266984038572e-05,221.7,239.3,80.85
Anthony Black (37027031),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Jared Butler (37027124),LeBron James (37026748),Anthony Davis (37026740),49000,266.8,5.395911397433097e-05,244.1,234.1,81.68
Luka Doncic (37026735),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jared Butler (37027124),Bilal Coulibaly (37026927),Dereck Lively II (37026945),50000,266.55,1.048315946458704e-05,200.2,239.8,81.95
Derrick White (37026821),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jalen Suggs (37026798),Jayson Tatum (37026744),Dereck Lively II (37026945),50000,265.87,2.1165906009646885e-05,225.9,245.8,81.59
Anthony Black (37027031),Jordan Poole (37026805),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jrue Holiday (37026942),Jonathan Kuminga (37026881),Jalen Suggs (37026798),49800,265.88,1.575500268328161e-05,216.8,246.5,81.2
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Austin Reaves (37026858),LeBron James (37026748),Jalen Suggs (37026798),49900,266.62,1.602918337382667e-05,219.6,237.6,81.05
Jalen Suggs (37026798),Derrick White (37026821),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Buddy Hield (37026973),LeBron James (37026748),Goga Bitadze (37026910),49900,266.62,2.2132876334960704e-05,226.8,245.2,81.88
Jalen Suggs (37026798),Anthony Black (37027031),Klay Thompson (37026988),Jonathan Kuminga (37026881),Dereck Lively II (37026945),Jordan Poole (37026805),Justin Champagnie (37026970),Anthony Davis (37026740),49800,266.64,1.6508410372416904e-05,219.8,246.3,81.85
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Daniel Gafford (37026980),Luka Doncic (37026735),LeBron James (37026748),Dereck Lively II (37026945),49800,266.04,6.520787371679392e-06,207.3,228.9,82.4
Jared Butler (37027124),Anthony Black (37027031),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jalen Suggs (37026798),Bilal Coulibaly (37026927),Anthony Davis (37026740),49400,266.56,3.212834810637389e-05,233.5,242.1,81.18
Jared Butler (37027124),Buddy Hield (37026973),Bilal Coulibaly (37026927),Jonathan Kuminga (37026881),Victor Wembanyama (37026738),Anthony Black (37027031),Jayson Tatum (37026744),Goga Bitadze (37026910),50000,263.92,1.01849742196161e-05,210.9,237.0,82.08
Jrue Holiday (37026942),Klay Thompson (37026988),Justin Champagnie (37026970),LeBron James (37026748),Goga Bitadze (37026910),Jared Butler (37027124),Jonathan Kuminga (37026881),Anthony Davis (37026740),50000,267.58,2.0885166552361086e-05,224.6,236.9,80.17
Jared Butler (37027124),Klay Thompson (37026988),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Buddy Hield (37026973),Jayson Tatum (37026744),Anthony Davis (37026740),49800,266.66,3.2067291999071566e-05,234.6,235.5,81.05
Anthony Black (37027031),Klay Thompson (37026988),Justin Champagnie (37026970),Jonathan Kuminga (37026881),Kristaps Porzingis (37026796),Jalen Suggs (37026798),LeBron James (37026748),Goga Bitadze (37026910),49600,265.95,1.210186902016982e-05,212.6,242.9,81.86
Derrick White (37026821),Anthony Black (37027031),Justin Champagnie (37026970),LeBron James (37026748),Dereck Lively II (37026945),Austin Reaves (37026858),Jonathan Kuminga (37026881),Jalen Suggs (37026798),50000,266.03,1.0058866109506796e-05,209.9,249.3,80.69
Luka Doncic (37026735),Anthony Black (37027031),Jaden McDaniels (37027041),Jonathan Kuminga (37026881),Goga Bitadze (37026910),Jared Butler (37027124),LeBron James (37026748),Dereck Lively II (37026945),49900,265.5,9.115962194665147e-06,203.1,236.3,82.12
Jared Butler (37027124),Buddy Hield (37026973),Justin Champagnie (37026970),LeBron James (37026748),Victor Wembanyama (37026738),Anthony Black (37027031),Jonathan Kuminga (37026881),Goga Bitadze (37026910),49500,265.06,1.577671720639147e-05,224.7,232.2,82.82
Jared Butler (37027124),Derrick White (37026821),Justin Champagnie (37026970),LeBron James (37026748),Kristaps Porzingis (37026796),Jordan Poole (37026805),Jonathan Kuminga (37026881),Anthony Black (37027031),49900,265.74,7.230930397313977e-06,204.1,236.7,80.65
