PG,SG,SF,PF,C,G,F,UTIL,Salary,Fpts Proj,Own. Prod.,Own. Sum.,Minutes,StdDev
Tyus Jones (37345909),Dalano Banton (37346152),Cam Whitmore (37345967),Jalen Williams (37345767),Jaylin Williams (37346032),Shai Gilgeous-Alexander (37345727),Evan Mobley (37345758),Alperen Sengun (37345746),49800,282.3,1.213618194151746e-05,228.1,229.99999999999997,80.16999999999999
Shai Gilgeous-Alexander (37345727),Kris Dunn (37346015),Grayson Allen (37345912),Kenrich Williams (37346061),Jaylin Williams (37346032),Cade Cunningham (37345730),Kevin Durant (37345735),Myles Turner (37345838),50000,282.14,8.842925819161141e-06,235.0,235.6,78.69999999999999
Cade Cunningham (37345730),Devin Booker (37345739),Luguentz Dort (37345935),Obi Toppin (37345960),Jaylin Williams (37346032),Dalano Banton (37346152),Kevin Durant (37345735),Ivica Zubac (37345796),49800,281.8,1.58581223346e-05,252.79999999999998,234.7,79.02000000000001
