Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,JD Davison (36987788),JD Davison,36987788,PG/G/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,BOS,1.75
PF,Drew Peterson (36987791),Drew Peterson,36987791,PF/F/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,BOS,7.21
SG/SF,Jaden Springer (36987794),Jaden Springer,36987794,SG/SF/F/G/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,BOS,3.36
C,Cole Swider (36987833),Cole Swider,36987833,C/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,2
PG/SG,Alondes Williams (36987835),Alondes Williams,36987835,PG/SG/G/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,7
PG,Daniss Jenkins (36987839),Daniss Jenkins,36987839,PG/G/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,0
SF,Ronald Holland II (36987842),Ronald Holland II,36987842,SF/F/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,11.52
C,Paul Reed (36987845),Paul Reed,36987845,C/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,10.34
PG/SG,Wendell Moore Jr. (36987847),Wendell Moore Jr.,36987847,PG/SG/G/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,12.04
PF,Bobi Klintman (36987851),Bobi Klintman,36987851,PF/F/UTIL,3000,DET@BOS 12/12/2024 07:30PM ET,DET,0
C,Thomas Bryant (36987731),Thomas Bryant,36987731,C/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,10.9
SF,Keshad Johnson (36987733),Keshad Johnson,36987733,SF/F/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,2.25
PG/SG,Alec Burks (36987736),Alec Burks,36987736,PG/SG/G/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,11.69
PG,Josh Christopher (36987740),Josh Christopher,36987740,PG/G/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,0
PF,Nikola Jovic (36987743),Nikola Jovic,36987743,PF/F/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,16.5
C,Kel'el Ware (36987746),Kel'el Ware,36987746,C/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,6.05
PG/SG,Josh Richardson (36987748),Josh Richardson,36987748,PG/SG/G/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,10.25
SF,Pelle Larsson (36987752),Pelle Larsson,36987752,SF/F/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,MIA,12
SF,Jamison Battle (36987799),Jamison Battle,36987799,SF/F/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,TOR,10.72
SG,Garrett Temple (36987802),Garrett Temple,36987802,SG/G/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,TOR,3.44
C,Ulrich Chomche (36987805),Ulrich Chomche,36987805,C/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,TOR,3.25
PG,D.J. Carton (36987807),D.J. Carton,36987807,PG/G/UTIL,3000,TOR@MIA 12/12/2024 07:30PM ET,TOR,3.62
C,Trey Jemison (36987755),Trey Jemison,36987755,C/UTIL,3000,SAC@NOP 12/12/2024 08:00PM ET,NOP,8.04
