"Name","Salary","Position","Matchup","Team","Opponent","Ownership %"
"Lindy Waters III","3,200","SG/SF","MIA@GSW","GSW","MIA","0.8"
"Duncan Robinson","4,300","SG","MIA@GSW","MIA","GSW","0.7"
"Steven Adams","3,100","C","HOU@WAS","HOU","WAS","0.6"
"Nikola Jovic","4,900","PF/C","MIA@GSW","MIA","GSW","0.5"
"Drew Eubanks","3,000","C","ATL@UTA","UTA","ATL","0.5"
"Tyler Herro","9,100","PG/SG","MIA@GSW","MIA","GSW","0.4"
"Quentin Grimes","5,700","SG/SF","LAL@DAL","DAL","LAL","0.4"
"Tidjane Salaun","3,500","PF","PHX@CHA","CHA","PHX","0.4"
"Al Horford","5,000","PF/C","BOS@DEN","BOS","DEN","0.3"
"Rui Hachimura","4,800","SF/PF","LAL@DAL","LAL","DAL","0.3"
"Corey Kispert","4,500","SG/SF","HOU@WAS","WAS","HOU","0.3"
"Ryan Dunn","4,400","SF/PF","PHX@CHA","PHX","CHA","0.3"
"Jae'Sean Tate","3,500","SF/PF","HOU@WAS","HOU","WAS","0.2"
"Aaron Holiday","3,000","PG","HOU@WAS","HOU","WAS","0.2"
"Payton Pritchard","5,900","PG/SG","BOS@DEN","BOS","DEN","0.1"
"Tyus Jones","5,400","PG","PHX@CHA","PHX","CHA","0.1"
"Cody Martin","4,500","SG/SF","PHX@CHA","CHA","PHX","0.1"
"Jordan Hawkins","3,400","SG","MIN@NOP","NOP","MIN","0.1"
"Daniel Theis","3,200","C","MIN@NOP","NOP","MIN","0.1"
"Zion Williamson","9,000","PF","MIN@NOP","NOP","MIN","0.0"
"Brandon Miller","8,600","SG/SF","PHX@CHA","CHA","PHX","0.0"
"Jordan Poole","8,100","PG/SG","HOU@WAS","WAS","HOU","0.0"
"Bradley Beal","7,100","SG/SF","PHX@CHA","PHX","CHA","0.0"
"Spencer Dinwiddie","6,500","PG","LAL@DAL","DAL","LAL","0.0"
"Jusuf Nurkic","5,700","C","PHX@CHA","PHX","CHA","0.0"
"Justin Champagnie","5,300","SF/PF","HOU@WAS","WAS","HOU","0.0"
"Jose Alvarado","5,300","PG","MIN@NOP","NOP","MIN","0.0"
"Grayson Allen","5,000","SG","PHX@CHA","PHX","CHA","0.0"
"Vasilije Micic","4,900","PG","PHX@CHA","CHA","PHX","0.0"
"Mason Plumlee","4,700","C","PHX@CHA","PHX","CHA","0.0"
"Monte Morris","4,100","PG","PHX@CHA","PHX","CHA","0.0"
"Dalton Knecht","4,100","SG/SF","LAL@DAL","LAL","DAL","0.0"
"Josh Green","4,000","SF/PF","PHX@CHA","CHA","PHX","0.0"
"Josh Okogie","4,000","SF","PHX@CHA","PHX","CHA","0.0"
"Jaxson Hayes","4,000","C","LAL@DAL","LAL","DAL","0.0"
"Sam Hauser","3,900","SF/PF","BOS@DEN","BOS","DEN","0.0"
