Name,Team,Position,Salary,Projection,Std Dev,Ceiling,Floor,Bust%,Boom%,Ownership%,Optimal%,Leverage
Deandre Ayton,POR,C,"6,400",29.9,9.86,36.55,23.25,45,16.81,1.18,1.16,-0.02
Bennedict Mathurin,IND,SG/SF,"6,100",28.74,9.61,35.22,22.26,44,16.75,3.7,3.46,-0.24
Damian Lillard,MIL,PG,"9,200",42.16,10.44,49.2,35.12,47,16.72,1.02,1.28,0.26
Jake LaRavia,MEM,SF/PF,"4,500",22.07,8.84,28.04,16.11,41,16.58,2.08,4.5,2.42
Jaylen Wells,MEM,SG/SF,"4,700",23.19,8.62,29.01,17.38,40,16.54,6.18,5.68,-0.5
Mike Conley,MIN,PG,"3,800",19.63,8,25.03,14.23,37,16.45,6.12,5.72,-0.4
Khris Middleton,MIL,SG/SF,"6,500",30.28,9.73,36.84,23.72,45,16.29,2.66,2.98,0.32
Scotty Pippen Jr.,MEM,PG,"6,300",29.31,9.78,35.91,22.71,46,16.29,1.68,1.92,0.24
Onyeka Okongwu,ATL,C,"4,700",23.05,8.66,28.89,17.21,41,16.25,,,
Jalen Johnson,ATL,PF,"8,900",40.96,9.92,47.65,34.27,46,15.93,,,
Jeremy Sochan,SAS,PF/C,"6,400",29.53,9.7,36.08,22.99,46,15.51,3.48,1.34,-2.14
Coby White,CHI,PG/SG,"6,800",31.35,9.57,37.81,24.89,46,15.13,1.3,1.76,0.46
John Collins,UTA,PF/C,"7,000",31.64,10.08,38.44,24.84,49,14.88,0.78,1.08,0.3
Malik Beasley,DET,SG/SF,"5,500",25.56,9.1,31.7,19.42,46,14.37,1.84,2.14,0.3
Toumani Camara,POR,SG/SF,"4,600",21.7,8.75,27.6,15.8,45,14.09,3.7,2.9,-0.8
Keldon Johnson,SAS,SF/PF,"4,500",21.04,8.74,26.94,15.15,46,13.57,2.16,2.18,0.02
Moses Moody,GSW,SG/SF,"3,100",16.01,7.47,21.05,10.98,39,13.55,5.78,5.76,-0.02
Nikola Jovic,MIA,PF/C,"4,600",21.54,8.66,27.38,15.7,46,13.45,2.2,1.62,-0.58
Stephon Castle,SAS,PG/SG,"3,400",16.56,8.18,22.07,11.04,43,13.43,1.78,2.98,1.2
Mikal Bridges,NYK,SG/SF,"6,700",31.2,8.47,36.92,25.49,45,12.97,1.7,1.2,-0.5
Keyonte George,UTA,PG,"5,700",25.9,9.05,32.01,19.8,48,12.84,1.88,1.14,-0.74
Zach LaVine,CHI,SG/SF,"8,200",36.16,10.05,42.94,29.38,52,12.67,1.1,0.86,-0.24
Jalen Smith,CHI,C,"3,700",16.86,8.81,22.8,10.91,49,12.52,0.92,0.96,0.04
Nikola Vucevic,CHI,C,"9,100",39.55,10.58,46.68,32.41,55,12.39,0.2,0.26,0.06
Harrison Barnes,SAS,SF/PF,"3,500",17.21,7.65,22.37,12.05,42,12.35,1.94,2.98,1.04
Norman Powell,LAC,SG/SF,"7,500",33.8,9.1,39.94,27.66,49,12.15,,,
Jalen Duren,DET,C,"6,200",26.65,10,33.39,19.9,54,11.88,0.26,0.26,0
