Entry ID,Contest Name,Contest ID,Entry Fee,PG,SG,SF,PF,C,G,F,UTIL,,Instructions
4604251869,NBA $15K Four Point Play [20 Entry Max],172964177,$4,Cade Cunningham (37295119) (LOCKED),Shaedon Sharpe (37295221),Scottie Barnes (37295135) (LOCKED),Naz Reid (37295264) (LOCKED),Rudy Gobert (37295237) (LOCKED),Scoot Henderson (37295298),Jaden McDaniels (37295320) (LOCKED),Jakob Poeltl (37295200) (LOCKED),,PG,Ja Morant (37295147) (LOCKED),Ja Morant,37295147,PG/G/UTIL,8800,In Progress,MEM,40.84
4604251870,NBA $15K Four Point Play [20 Entry Max],172964177,$4,Mike Conley (37295379) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Julius Randle (37295181) (LOCKED),Jakob Poeltl (37295200) (LOCKED),Cade Cunningham (37295119) (LOCKED),Toumani Camara (37295290),Donovan Clingan (37295456),,SF,RJ Barrett (37295150) (LOCKED),RJ Barrett,37295150,SF/F/UTIL,8400,Final,TOR,42.6
4604251871,NBA $15K Four Point Play [20 Entry Max],172964177,$4,Mike Conley (37295379) (LOCKED),Terry Rozier (37295247),Jaden McDaniels (37295320) (LOCKED),Julius Randle (37295181) (LOCKED),Bam Adebayo (37295153),Cade Cunningham (37295119) (LOCKED),Jaime Jaquez Jr. (37295217),Rudy Gobert (37295237) (LOCKED),,C,Bam Adebayo (37295153),Bam Adebayo,37295153,C/UTIL,8400,MIA@POR 01/11/2025 10:00PM ET,MIA,40.23
4604251439,NBA $10K And-One,172964178,$1,Immanuel Quickley (37295197) (LOCKED),Donte DiVincenzo (37295251) (LOCKED),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Rudy Gobert (37295237) (LOCKED),Cade Cunningham (37295119) (LOCKED),Scottie Barnes (37295135) (LOCKED),Donovan Clingan (37295456),,SG/SF,Brandon Miller (37295155),Brandon Miller,37295155,SG/SF/F/G/UTIL,8300,Postponed,CHA,36.88
4604251440,NBA $10K And-One,172964178,$1,Ja Morant (37295147) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Tobias Harris (37295207) (LOCKED),Donovan Clingan (37295456),Scoot Henderson (37295298),Julius Randle (37295181) (LOCKED),Rudy Gobert (37295237) (LOCKED),,SF/PF,Jimmy Butler (37295160),Jimmy Butler,37295160,SF/PF/F/UTIL,8000,MIA@POR 01/11/2025 10:00PM ET,MIA,34.60
4604251441,NBA $10K And-One,172964178,$1,Immanuel Quickley (37295197) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Scoot Henderson (37295298),RJ Barrett (37295150) (LOCKED),Jalen Duren (37295235) (LOCKED),,SG/SF,Desmond Bane (37295164) (LOCKED),Desmond Bane,37295164,SG/SF/F/G/UTIL,7800,In Progress,MEM,34.89
4604251442,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Donte DiVincenzo (37295251) (LOCKED),RJ Barrett (37295150) (LOCKED),Deni Avdija (37295185),Jalen Duren (37295235) (LOCKED),Cade Cunningham (37295119) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Rudy Gobert (37295237) (LOCKED),,PF,Miles Bridges (37295169),Miles Bridges,37295169,PF/F/UTIL,7700,Postponed,CHA,35.73
4604251443,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Scottie Barnes (37295135) (LOCKED),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Mike Conley (37295379) (LOCKED),RJ Barrett (37295150) (LOCKED),Jalen Duren (37295235) (LOCKED),,C,Ivica Zubac (37295172),Ivica Zubac,37295172,C/UTIL,7700,Postponed,LAC,38.09
4604251444,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Tyler Herro (37295140),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Julius Randle (37295181) (LOCKED),Rudy Gobert (37295237) (LOCKED),,SF/PF,Kawhi Leonard (37295174),Kawhi Leonard,37295174,SF/PF/F/UTIL,7600,Postponed,LAC,17.88
4604251445,NBA $10K And-One,172964178,$1,Shaedon Sharpe (37295221),Donte DiVincenzo (37295251) (LOCKED),RJ Barrett (37295150) (LOCKED),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Nikola Jovic (37295268),Rudy Gobert (37295237) (LOCKED),,PG,Austin Reaves (37295178),Austin Reaves,37295178,PG/G/UTIL,7500,Postponed,LAL,35.27
4604251446,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Nikola Jovic (37295268),Jalen Duren (37295235) (LOCKED),Ja Morant (37295147) (LOCKED),RJ Barrett (37295150) (LOCKED),Rudy Gobert (37295237) (LOCKED),,PF/C,Julius Randle (37295181) (LOCKED),Julius Randle,37295181,PF/C/F/UTIL,7200,In Progress,MIN,36.28
4604251447,NBA $10K And-One,172964178,$1,Donte DiVincenzo (37295251) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Donovan Clingan (37295456),Ja Morant (37295147) (LOCKED),Julius Randle (37295181) (LOCKED),Jakob Poeltl (37295200) (LOCKED),,SF/PF,Deni Avdija (37295185),Deni Avdija,37295185,SF/PF/F/UTIL,7100,MIA@POR 01/11/2025 10:00PM ET,POR,29.34
4604251448,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Scottie Barnes (37295135) (LOCKED),Jaime Jaquez Jr. (37295217),Bam Adebayo (37295153),Mike Conley (37295379) (LOCKED),Nikola Jovic (37295268),Rudy Gobert (37295237) (LOCKED),,SG/SF,Norman Powell (37295189),Norman Powell,37295189,SG/SF/F/G/UTIL,6900,Postponed,LAC,34.92
4604251449,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Desmond Bane (37295164) (LOCKED),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Mike Conley (37295379) (LOCKED),Nikola Jovic (37295268),Cade Cunningham (37295119) (LOCKED),,PG,Anfernee Simons (37295194),Anfernee Simons,37295194,PG/G/UTIL,6800,MIA@POR 01/11/2025 10:00PM ET,POR,31.90
4604251450,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Donte DiVincenzo (37295251) (LOCKED),Scottie Barnes (37295135) (LOCKED),Julius Randle (37295181) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Nikola Jovic (37295268),Jakob Poeltl (37295200) (LOCKED),,PG,Immanuel Quickley (37295197) (LOCKED),Immanuel Quickley,37295197,PG/G/UTIL,6500,Final,TOR,29.88
4604251451,NBA $10K And-One,172964178,$1,Immanuel Quickley (37295197) (LOCKED),Donte DiVincenzo (37295251) (LOCKED),Scottie Barnes (37295135) (LOCKED),Nikola Jovic (37295268),Jakob Poeltl (37295200) (LOCKED),Scoot Henderson (37295298),Jaden McDaniels (37295320) (LOCKED),Cade Cunningham (37295119) (LOCKED),,C,Jakob Poeltl (37295200) (LOCKED),Jakob Poeltl,37295200,C/UTIL,6300,Final,TOR,36.70
4604251452,NBA $10K And-One,172964178,$1,Anfernee Simons (37295194),Tyler Herro (37295140),Jaden McDaniels (37295320) (LOCKED),Naz Reid (37295264) (LOCKED),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Jaime Jaquez Jr. (37295217),Jakob Poeltl (37295200) (LOCKED),,PF,Tobias Harris (37295207) (LOCKED),Tobias Harris,37295207,PF/F/UTIL,6200,Final,DET,28.53
4604251453,NBA $10K And-One,172964178,$1,Mike Conley (37295379) (LOCKED),Anthony Edwards (37295132) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Jaren Jackson Jr. (37295128) (LOCKED),Rudy Gobert (37295237) (LOCKED),Scoot Henderson (37295298),Scottie Barnes (37295135) (LOCKED),Jalen Duren (37295235) (LOCKED),,C,Deandre Ayton (37295210),Deandre Ayton,37295210,C/UTIL,6200,MIA@POR 01/11/2025 10:00PM ET,POR,32.54
4604251454,NBA $10K And-One,172964178,$1,Immanuel Quickley (37295197) (LOCKED),Donte DiVincenzo (37295251) (LOCKED),Scottie Barnes (37295135) (LOCKED),Jaime Jaquez Jr. (37295217),Jalen Duren (37295235) (LOCKED),Ja Morant (37295147) (LOCKED),Jaden McDaniels (37295320) (LOCKED),Rudy Gobert (37295237) (LOCKED),,SG/SF,Devin Vassell (37295202),Devin Vassell,37295202,SG/SF/F/G/UTIL,6200,Postponed,SAS,27.91
4604251455,NBA $10K And-One,172964178,$1,Cade Cunningham (37295119) (LOCKED),Tyler Herro (37295140),Jaime Jaquez Jr. (37295217),Nikola Jovic (37295268),Donovan Clingan (37295456),Scoot Henderson (37295298),Julius Randle (37295181) (LOCKED),Jalen Duren (37295235) (LOCKED),,C,Mark Williams (37295212),Mark Williams,37295212,C/UTIL,6100,Postponed,CHA,27.38
4604251456,NBA $10K And-One,172964178,$1,Scoot Henderson (37295298),Anthony Edwards (37295132) (LOCKED),Deni Avdija (37295185),Nikola Jovic (37295268),Donovan Clingan (37295456),Cade Cunningham (37295119) (LOCKED),Jaime Jaquez Jr. (37295217),Rudy Gobert (37295237) (LOCKED),,PG,Chris Paul (37295214),Chris Paul,37295214,PG/G/UTIL,6000,Postponed,SAS,31.10
4604251457,NBA $10K And-One,172964178,$1,Cade Cunningham (37295119) (LOCKED),Anthony Edwards (37295132) (LOCKED),RJ Barrett (37295150) (LOCKED),Naz Reid (37295264) (LOCKED),Donovan Clingan (37295456),Mike Conley (37295379) (LOCKED),Nikola Jovic (37295268),Jakob Poeltl (37295200) (LOCKED),,SF/PF,Jaime Jaquez Jr. (37295217),Jaime Jaquez Jr.,37295217,SF/PF/F/UTIL,5900,MIA@POR 01/11/2025 10:00PM ET,MIA,22.01
4604251458,NBA $10K And-One,172964178,$1,Cade Cunningham (37295119) (LOCKED),Shaedon Sharpe (37295221),Desmond Bane (37295164) (LOCKED),Jaime Jaquez Jr. (37295217),Donovan Clingan (37295456),Scoot Henderson (37295298),Julius Randle (37295181) (LOCKED),Rudy Gobert (37295237) (LOCKED),,PG/SG,Shaedon Sharpe (37295221),Shaedon Sharpe,37295221,PG/SG/G/UTIL,5900,MIA@POR 01/11/2025 10:00PM ET,POR,29.34
