"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Jeremiah Robinson-Earl","8.40","PF/C","NOP","LAC","10.2","3,300","2.55","-8.10"
"Jazian Gortman","7.48","PG","DAL","SAC","8.8","3,000","2.49","-7.52"
"Keon Ellis","9.39","PG/SG","SAC","DAL","13.0","3,900","2.41","-10.11"
"Alex Len","7.25","C","SAC","DAL","7.8","3,200","2.27","-8.75"
"Cameron Payne","6.58","PG/SG","NYK","WAS","6.8","3,000","2.19","-8.42"
"Julian Phillips","6.48","PF","CHI","CHA","10.0","3,000","2.16","-8.52"
"Olivier-Maxence Prosper","6.52","SF/PF","DAL","SAC","7.3","3,300","1.98","-9.98"
"Drew Eubanks","6.15","C","UTA","DEN","6.4","3,300","1.86","-10.35"
"Kyle Anderson","5.45","SF/PF","GSW","CLE","6.0","3,000","1.82","-9.55"
"Landry Shamet","5.42","SG","NYK","WAS","7.9","3,000","1.81","-9.58"
"Dalano Banton","6.39","PG/SG","POR","PHI","5.9","3,700","1.73","-12.11"
"Justin Champagnie","8.84","SF/PF","WAS","NYK","10.3","5,300","1.67","-17.66"
"Ricky Council IV","4.82","SF/PF","PHI","POR","6.9","3,100","1.56","-10.68"
"Jevon Carter","4.87","PG/SG","CHI","CHA","6.8","3,300","1.48","-11.63"
"Torrey Craig","4.40","PF","CHI","CHA","5.9","3,100","1.42","-11.10"
"Jordan Miller","2.87","SG/SF","LAC","NOP","3.8","3,000","0.96","-12.13"
"Talen Horton-Tucker","2.90","SF","CHI","CHA","2.9","3,500","0.83","-14.60"
"Jericho Sims","2.37","C","NYK","WAS","3.5","3,000","0.79","-12.63"
"Jalen Pickett","2.23","PG/SG","DEN","UTA","3.0","3,000","0.74","-12.77"
"Jared Butler","1.72","PG","WAS","NYK","1.7","3,000","0.57","-13.28"
"Tristan Vukcevic","1.66","C","WAS","NYK","1.7","3,000","0.55","-13.34"
"Patrick Baldwin Jr.","1.35","PF","WAS","NYK","1.7","3,000","0.45","-13.65"
"Ariel Hukporti","1.29","C","NYK","WAS","1.7","3,000","0.43","-13.71"
"Tyler Kolek","1.25","PG","NYK","WAS","1.7","3,000","0.42","-13.75"
"Pacome Dadiet","1.19","SG/SF","NYK","WAS","1.7","3,000","0.40","-13.81"
"Dario Saric","1.11","C","DEN","UTA","1.1","3,000","0.37","-13.89"
"Jacob Toppin","1.06","PF","NYK","WAS","1.7","3,000","0.35","-13.94"
"Bones Hyland","1.01","PG","LAC","NOP","0.9","3,000","0.34","-13.99"
"Zeke Nnaji","0.97","C","DEN","UTA","1.1","3,000","0.32","-14.03"
"Johnny Davis","0.97","SG/SF","WAS","NYK","1.7","3,000","0.32","-14.03"
"Tristan Thompson","0.87","C","CLE","GSW","0.9","3,000","0.29","-14.13"
"Jabari Walker","0.83","PF/C","POR","PHI","1.1","3,000","0.28","-14.17"
"Jaylon Tyson","0.82","SG/SF","CLE","GSW","0.9","3,000","0.27","-14.18"
"Markieff Morris","0.80","PF/C","DAL","SAC","0.8","3,000","0.27","-14.20"
"Svi Mykhailiuk","0.91","SG/SF","UTA","DEN","1.1","3,500","0.26","-16.59"
"Brandon Williams","0.78","PG","DAL","SAC","0.8","3,000","0.26","-14.22"
"Chris Duarte","0.74","SG/SF","CHI","CHA","1.0","3,000","0.25","-14.26"
"Pat Spencer","0.73","PG","GSW","CLE","0.9","3,000","0.24","-14.27"
"Trey Jemison","0.71","C","NOP","LAC","0.9","3,000","0.24","-14.29"
"Kris Murray","0.71","SF","POR","PHI","1.1","3,000","0.24","-14.29"
"Gui Santos","0.70","SG","GSW","CLE","0.9","3,000","0.23","-14.30"
"Dwight Powell","0.69","C","DAL","SAC","0.8","3,000","0.23","-14.31"
"Kobe Brown","0.69","PF/C","LAC","NOP","0.9","3,000","0.23","-14.31"
"Antonio Reeves","0.69","SG/SF","NOP","LAC","0.9","3,000","0.23","-14.31"
"Jamal Cain","0.69","SF","NOP","LAC","0.9","3,000","0.23","-14.31"
"Adem Bona","0.68","C","PHI","POR","1.1","3,000","0.23","-14.32"
"Kai Jones","0.67","PF/C","LAC","NOP","0.9","3,000","0.22","-14.33"
"Bryce McGowens","0.66","SG","POR","PHI","1.1","3,000","0.22","-14.34"
"Jordan McLaughlin","0.65","PG","SAC","DAL","0.8","3,000","0.22","-14.35"
"Kessler Edwards","0.64","SG/SF","DAL","SAC","0.8","3,000","0.21","-14.36"
"Quinten Post","0.64","C","GSW","CLE","0.9","3,000","0.21","-14.36"
"Rayan Rupert","0.62","SG/SF","POR","PHI","1.1","3,000","0.21","-14.38"
"Justin Minaya","0.62","PF","POR","PHI","1.1","3,000","0.21","-14.38"
"Eric Gordon","0.61","SG/SF","PHI","POR","1.1","3,000","0.20","-14.39"
"Doug McDermott","0.51","SF/PF","SAC","DAL","0.8","3,000","0.17","-14.49"
"Jae Crowder","0.50","PF","SAC","DAL","0.8","3,000","0.17","-14.50"
"Taj Gibson","0.00","C","CHA","CHI","0.0","3,000","0.00","-15.00"
"LaMelo Ball","0.00","PG","CHA","CHI","0.0","10,000","0.00","-50.00"
"Cody Martin","0.00","SG/SF","CHA","CHI","0.0","4,700","0.00","-23.50"
"Brandon Miller","0.00","SG/SF","CHA","CHI","0.0","8,600","0.00","-43.00"
"Ayo Dosunmu","0.00","PG/SG","CHI","CHA","0.0","6,400","0.00","-32.00"
"Craig Porter Jr.","0.00","PG","CLE","GSW","0.0","3,000","0.00","-15.00"
"Isaac Okoro","0.00","SF/PF","CLE","GSW","0.0","4,000","0.00","-20.00"
"JT Thor","0.00","PF","CLE","GSW","0.0","3,000","0.00","-15.00"
"Luka Doncic","0.00","PG","DAL","SAC","0.0","11,000","0.00","-55.00"
